ML Catalog Number,Date,Latitude,Longitude,Recordist,Media notes,Age/Sex,Average Community Rating,Filename
741539,2022-07-14,49.2884,-123.1435,Nicolas Martinez,2 juv. birds and some adults at the beach,unknown,0.0,741539.mp3
703718,2018-06-09,36.6182,-88.3357,Antonio Xeira,"Editing: High-pass filter, some amplification.

Recorder: Olympus WS-822
",unknown,0.0,703718.mp3
698541,2022-01-23,53.8636,-122.7643,Sunny Tseng,Two birds were calling back and forth. With traffic noise in the background as a highway was nearby.  ,unknown,0.0,698541.mp3
686189,2021-04-27,45.5575,-122.6912,Thomas Magarian,,unknown,0.0,686189.mp3
639144,2021-02-14,38.5641,-121.4417,Ed Pandolfino,"large group of Am Crows mobbing a GH Owl tucked into a eucalyptus tree, finally chased to owl off",unknown,0.0,639144.mp3
636546,2018-08-03,43.3747,-80.967,Thomas Ryder Payne,Stereo spaced EM172s. In trees in residential area.,unknown,0.0,636546.mp3
636423,2019-08-21,51.2982,-116.974,Thomas Ryder Payne,Homemade parabolic using EM172s. In backyard.,unknown,0.0,636423.mp3
636422,2019-04-22,43.6701,-79.4243,Thomas Ryder Payne,Homemade parabolic using EM172s. Fairly close fly by.,unknown,0.0,636422.mp3
622759,2021-02-09,44.4818,-73.2091,Jasper Barnes,"This crow was standing high in the maple tree behind the apartment building, engaging in a ""caw-and-response"" series of notes with a distant , unseen bird. It was approaching sunset, but still somewhat light out, and mostly clear as I recall. The bird adopted a typical cawing posture, moving its head up and down with each call. This recording was modified using Audacity (in which I boosted the volume and removed excess handling noise).",unknown,0.0,622759.mp3
622110,2021-02-13,45.2823,-75.6858,Matt Osborne,"Extracted from a remote microphone recording over a roughly 3-hour interval straddling dawn.

Neewer NW-800 > Steinberg UR12 > Raven Lite > amplification and high-pass filter (made necessary due to proximity to traffic).

Partly cloudy, -19 °C, -26 °C with wind.",unknown,0.0,622110.mp3
620528,2021-02-08,40.4539,-79.9906,Kate StJohn,"Winter crow flock in Pittsburgh PA roosting in trees along the Allegheny River. Total at this site is 8,000. About 1,000 within reach of microphone. Cawing, murmuring, begging, almost conversational. All sounds on recording are made by crows (not humans).",unknown,0.0,620528.mp3
617630,2021-01-24,37.8685,-122.3112,MorrisGevirtz,"The recording was made on a Samsung Galaxy S9+
I used RecForge recorging app. 

I captured only one repetition of this ""call."" I heard about 8 of them. At first I didn't think a bird was making the call. 

In this call we hear the target sound twice. The second time we hear it comes at the same time as the ""regular call"" of a different crow. 

Tartar (2008) calls it the ""coo"" call. 

Tarter, R. R. (2008). The vocal behavior of the American crow, Corvus brachyrhyncos (Doctoral dissertation, The Ohio State University).",unknown,0.0,617630.mp3
600280,2020-04-06,42.7134,-71.6445,Christopher McPherson,,unknown,0.0,600280.mp3
599335,2020-10-03,35.3982,-120.8597,Thomas G. Graves,"Several birds in tree. (iXY Röde cardioid stereo mic, iphone 5s, Röde Rec app).",unknown,0.0,599335.mp3
578154,2020-04-07,45.6496,-122.7636,Thomas Magarian,Recording amplified. High pass filter.,unknown,0.0,578154.mp3
563629,2020-03-04,45.4727,-122.7197,Skip Russell,"The low-pitched first part is a vocalization I hear crows do on occasion, but I can't recall seeing it referenced anywhere.  In any case this is my first time capturing a recording.",unknown,0.0,563629.mp3
535008,2017-08-04,58.10639,-154.60167,"Betchkal, Davyd; Peterson,  Robert","A low rocky bench above the western shore of Geographic Harbor - the protected inner portion of Amalik Bay. Site is about 35 meters line-of-sight from the ocean at low tide. Mountains surrounding the site form a deep bowl, and reach an elevation of 900 meters within 2 km. Viereck Class III.A.2.b Bluejoint Herb..",unknown,0.0,535008.mp3
533366,2020-03-08,39.3439,-84.6688,Joseph Keating,,unknown,0.0,533366.mp3
509710,2019-11-11,49.2427,-122.9355,Sunny Tseng,Mono with one Sennheiser mic.,unknown,0.0,509710.mp3
504854,2019-10-19,47.9514,-124.3863,Scott Olmstead,Calls from a group of 20+ crows in suburban environment. Conventional wisdom is crows from the Olympic Peninsula are Northwestern Crows; however there is some thinking among experts that western Washington is in an intergrade zone between Northwestern and American Crows and in fact all of the crows in may be part of a hybrid swarm.  Recorded on iPhone 8.,unknown,0.0,504854.mp3
488886,2019-07-24,35.987,-87.145,Brian Hendrix,Recorded using BirdGenie on iPhone XS Max and processed on Audacity.,unknown,0.0,488886.mp3
486243,2019-07-10,49.2349,-123.171,Sunny Tseng,A murder of crows perching on a fir tree with a number ~ 30.,unknown,0.0,486243.mp3
479493,2019-06-07,42.3306,-76.3351,Meena Haribal,,unknown,0.0,479493.mp3
464018,2019-03-28,35.975,-87.1328,Brian Hendrix,Recorded on:  H4n Pro with internal mics.,unknown,0.0,464018.mp3
460872,2019-02-23,25.2138,-80.8504,Uku Paal,,unknown,0.0,460872.mp3
454607,2019-02-01,37.2602,-97.4172,Ves,Seen in open woodland habitat making this noise in another American Crow's presence and then flying away.,unknown,0.0,454607.mp3
453754,2018-01-26,32.8572,-116.9189,Paul Marvin,,unknown,0.0,453754.mp3
451028,2018-10-25,32.6663,-117.032,Paul Marvin,"six, flight at end of recording",unknown,0.0,451028.mp3
425504,2018-06-03,45.5575,-122.6912,Thomas Magarian,Recording amplified. High pass filter. Noise reduced.,unknown,0.0,425504.mp3
425503,2018-05-12,45.5575,-122.6912,Thomas Magarian,Recording amplified. High pass filter. Noise reduced.,unknown,0.0,425503.mp3
425502,2018-05-12,45.5575,-122.6912,Thomas Magarian,Recording amplified. High pass filter. Noise reduced.,unknown,0.0,425502.mp3
422794,2018-06-24,42.4148,-76.4134,Meena Haribal,,unknown,0.0,422794.mp3
420594,2018-06-07,47.7249,-122.9383,Meena Haribal,,unknown,0.0,420594.mp3
420508,2018-06-12,39.1778,-114.389,Bobby Wilcox,"Two individuals flying over Pinyon-juniper woodland, about 200m away.",unknown,0.0,420508.mp3
408017,2015-05-18,36.2886,-121.8446,Frank Lambert,heavily edited,unknown,0.0,408017.mp3
407053,2018-03-24,45.3868,-75.7439,Dan Minor,"Unattended recording made using a homemade pressure zone microphone installed on my roof, built using an EM-172 capsule, and a Focusrite Scarlet 2i2. Recording was amplified using Audacity.",unknown,0.0,407053.mp3
394333,2017-01-20,40.7545,-74.0217,Dominic Garcia-Hall,Interspecific reaction to Fish Crows in vicinity,unknown,0.0,394333.mp3
394324,2017-09-24,47.5536,-120.6749,Alan Knue,Two call types; second type more drawn out.,unknown,0.0,394324.mp3
394321,2017-09-24,47.5536,-120.6749,Alan Knue,,unknown,0.0,394321.mp3
394319,2017-09-24,47.5536,-120.6749,Alan Knue,,unknown,0.0,394319.mp3
391430,2017-10-18,38.4341,-78.4767,Peter Boesman,In deciduous forest.,unknown,0.0,391430.mp3
